Reason,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking,Previously infected,Not previously infected,    Unsure C-19 diagnosis,    Did not report a C-19 diagnosis
Don’t believe I need a vaccine,NV,176252,26182,50997,66189,21005,11880,128065,48187,37215,100147,21303,863,16724,22146,52257,64310,37538,76403,784,17162,80423,1481,7836,39605,46265,24360,23061,14246,20879,72484,103768,55491,120761,-,116076,60176,-,20505,11174,10472,4484,19933,33307,25705,4720,45950,109263,25367,34868,8188,19447,39843,8018,20992,3090,26245,-,18121,-,-,157445,686,88628,49629,3307,-,34689,124922,15864,777,-,34689,81041,51788,8735,-,34689,97320,41754,2490,-,34689,16296,143710,16246,-
Don’t like vaccines,NV,112328,11310,52069,17803,20926,10219,70705,41622,23756,75337,4173,-,9062,17470,48043,30309,16506,49345,1111,2855,59017,-,4133,36691,24856,18859,5124,19906,2758,50679,61649,32913,79415,-,75844,36484,-,10603,16007,7222,2974,13022,19820,5201,-,37479,69119,5426,16559,2622,5201,8298,9543,10961,3090,23846,-,-,-,-,112328,-,63317,10917,2585,-,35509,69825,4408,2585,-,35509,27766,46467,2585,-,35509,49999,15509,11310,-,35509,14045,82506,15777,-
Doctor has not recommended it,NV,51572,5068,14797,14329,6261,11117,28134,23438,5488,25158,10703,-,10224,3090,24560,17680,6242,18307,-,5103,28162,-,3825,8731,12082,14367,9809,-,2758,22125,29447,21603,29969,-,41222,10351,-,13595,-,6396,1863,6305,2712,-,-,20701,34788,7182,8876,9064,5570,13892,5570,8462,3090,6242,-,-,-,-,51572,-,19239,9938,3307,-,19089,23339,9145,-,-,19089,13675,15502,3307,-,19089,19239,13244,-,-,19089,1117,41993,8462,-
Plan to wait and see if it is safe,NV,268180,53921,89659,72802,33098,18701,113581,154599,73052,121638,30548,21486,21456,37712,96105,92673,41689,75567,3037,60823,128068,686,9677,52905,66230,46087,33674,22087,37520,146224,121956,75270,192910,-,186956,81224,-,36052,33750,12446,13444,17232,27271,4792,8001,115193,142811,45906,42918,24217,13342,61701,25244,11658,18020,57578,-,-,1105,1234,265155,686,109953,47527,8279,-,102421,157892,7866,-,-,102421,103484,60424,1850,-,102421,126857,16246,22655,-,102421,55777,210781,1622,-
Other people need it more right now,NV,76330,17447,36658,11192,1795,9238,47961,28369,18358,45713,-,349,11910,-,26179,26335,23816,19304,-,7390,49635,-,7599,25359,11136,4279,3310,11310,13336,33406,42923,9079,67251,-,55123,21207,-,2849,12975,-,-,2304,13047,10385,469,34300,42915,6649,12476,1308,3769,18534,9185,326,1216,15435,-,-,1105,1234,73991,-,36510,4303,1216,-,34300,42029,-,-,-,34300,15521,26508,-,-,34300,25845,4874,11310,-,34300,7388,68942,-,-
Concerned about the cost,NV,42366,13072,25699,837,-,2758,26211,16155,16424,10148,5570,-,10224,7032,19772,5570,9992,7032,-,-,35334,-,-,-,5570,13416,4635,15987,2758,21937,20429,19982,22384,-,42366,-,-,10818,11310,-,-,5570,4677,-,-,9992,24449,10205,5570,7925,5570,5570,5570,10818,-,5357,-,-,-,-,42366,-,24449,5570,2355,-,9992,32374,-,-,-,9992,-,32374,-,-,9992,15494,5570,11310,-,9992,4677,29227,8462,-
Don’t trust COVID-19 vaccines,NV,217379,40269,63363,69283,28311,16153,126380,90998,43297,122893,32430,680,18080,22180,64095,86861,44243,94799,341,25543,96695,-,10992,46205,49451,30971,37810,14478,27473,101888,115491,76557,140822,-,120971,96407,-,34189,16188,17050,5871,17551,13728,26185,3866,82750,117223,26540,43602,9840,27055,64670,7658,24008,3090,49095,3782,18121,-,-,195476,-,93440,42391,11586,-,69962,131934,12897,2585,-,69962,66348,69748,11320,-,69962,105934,38767,2715,-,69962,29385,171748,16246,-
Don’t trust the government,NV,154488,21030,39320,52242,27341,14556,79492,74996,32473,102195,11988,1135,6698,22180,29225,60709,42374,75478,784,13129,63617,1481,9212,35744,37032,19700,10664,9864,32271,80819,73669,51662,102826,-,81668,72820,-,15121,6750,3670,7741,15969,9133,22402,4799,68903,75913,22885,23673,8124,19813,27115,12993,5942,3090,36690,4517,18121,-,-,131164,686,56628,31869,7990,-,58002,88015,5110,3362,-,58002,50587,39665,6234,-,58002,70245,17003,9239,-,58002,14279,132426,7784,-
Other,NV,120508,-,47225,36842,17231,19210,60977,59531,14744,75583,3254,6203,20724,7066,43106,42037,28300,58885,4932,23406,31981,1303,6070,36229,10136,17945,3183,21248,25697,65312,55197,51603,68905,-,69863,50645,-,17075,2611,5158,7277,22237,5048,2384,8878,49839,68111,20227,29969,3743,20279,19032,-,12023,2766,27226,4567,-,-,-,115255,686,58628,17445,-,-,44435,72989,3084,-,-,44435,46874,28144,1055,-,44435,66112,8565,1396,-,44435,10896,101150,8462,-
Did not report,NV,1245,-,-,1245,-,-,1245,-,1245,-,-,-,-,-,-,-,1245,1245,-,-,-,-,-,1245,-,-,-,-,-,-,1245,-,1245,-,1245,-,-,-,-,-,1245,-,-,-,-,-,1245,-,-,-,-,1245,-,-,-,-,-,-,-,-,1245,-,1245,-,-,-,-,1245,-,-,-,-,1245,-,-,-,-,1245,-,-,-,-,-,1245,-,-
Total,NH,180150,11821,70404,52646,17236,28043,99429,80720,28975,145857,-,1003,4315,7041,79001,68657,25450,104579,3713,13139,57956,762,6305,53736,40571,37349,27139,8997,6052,75681,104469,28060,151905,185,122122,55466,2561,7461,14935,9672,23731,10230,24387,1718,3177,84838,133334,50597,28151,17355,6776,34537,1292,1462,7694,19714,2167,8802,-,-,170822,526,94616,18825,2225,-,64484,99383,15119,1163,-,64484,67927,42509,5230,-,64484,89099,23741,1180,1645,64484,33158,127470,19336,185
Concerned about possible side effects,NH,95473,4916,42478,26389,6687,15003,55553,39920,24589,66772,-,588,3525,3781,43939,35650,12103,50438,3192,6105,35739,-,949,25594,17065,18249,19830,8997,4790,41897,53576,17083,78390,-,67436,28037,-,2786,2317,6656,17170,4376,7895,1718,2176,50380,87794,37150,19256,9542,1207,15930,770,982,1059,2945,2167,2167,-,-,93307,-,44778,14550,1163,-,34982,50240,9087,1163,-,34982,30201,27233,3058,-,34982,46949,12362,1180,-,34982,24245,51892,19336,-
Don’t know if a vaccine will work,NH,40749,4916,15270,11532,2095,6936,25647,15102,3415,37334,-,-,-,2749,19380,14731,3888,30272,-,2433,8044,-,273,19441,6233,6192,631,4417,3562,19724,21025,3142,37608,-,29089,11660,-,572,273,3305,6665,4376,8638,1297,-,15623,30110,5673,6675,1829,666,9601,-,299,7180,2296,2167,8802,-,-,31948,-,26203,6253,1163,-,7130,28472,3984,1163,-,7130,24499,7243,1877,-,7130,24919,8401,299,-,7130,6086,31914,2749,-
Don’t believe I need a vaccine,NH,44371,2167,17643,11371,4145,9045,28134,16238,2653,41130,-,588,-,-,19404,16810,8157,28610,2412,1846,10927,576,1296,20085,5897,8372,1905,3254,3562,20525,23847,3158,41214,-,35961,8410,-,1322,3532,1819,7277,1121,11076,421,1062,16741,31874,10110,11810,3836,1274,9834,-,299,6907,1755,2167,8802,-,-,35570,-,33524,3718,721,-,6408,34919,3044,-,-,6408,30275,7116,572,-,6408,32905,4759,299,-,6408,9859,34512,-,-
Don’t like vaccines,NH,26350,6210,2191,7889,1386,8674,15838,10512,2415,22707,-,-,1227,-,8034,15805,2510,13882,2412,1250,8806,-,1511,12941,601,6815,-,3254,1227,8684,17665,4040,22310,-,17093,9257,-,725,-,2601,5180,1274,1163,421,-,14986,22045,6916,4176,-,464,8324,-,-,-,2612,2167,2167,-,-,24183,-,13435,4112,-,-,8803,15134,2412,-,-,8803,10558,6728,261,-,8803,13431,4116,-,-,8803,7849,18501,-,-
Doctor has not recommended it,NH,5334,-,514,3159,-,1661,4547,787,-,5334,-,-,-,-,931,4403,-,4802,-,531,-,-,258,1916,273,1393,1493,-,-,3159,2174,1204,4130,-,2379,1462,1493,273,-,514,472,-,2324,-,-,1751,2637,472,1393,-,931,2855,-,-,273,1493,-,-,-,-,5334,-,3309,273,-,-,1751,3309,273,-,-,1751,1444,1865,273,-,1751,3582,-,-,-,1751,514,4820,-,-
Plan to wait and see if it is safe,NH,85416,3597,39848,28564,3581,9826,61682,23734,20735,62029,-,1003,1649,-,46483,30840,8093,49537,238,5703,29938,-,1641,26087,10379,16168,20815,6763,3562,37233,48183,11312,74104,-,68630,16786,-,2133,4833,1645,10562,6562,14350,1297,1632,42402,68146,30980,12322,7595,1919,14703,1292,709,7421,3857,2167,8802,-,-,76614,-,44014,9491,1884,-,30027,49745,4481,1163,-,30027,34989,17616,2785,-,30027,41064,11500,1180,1645,30027,13298,55531,16587,-
Other people need it more right now,NH,16499,4779,8386,2933,401,-,12820,3679,473,14671,-,588,768,-,3317,11249,1933,7309,-,299,8891,-,-,8331,299,6706,-,1163,-,8759,7740,2037,14462,-,13119,3380,-,299,-,-,2167,3718,3105,-,-,7210,12250,5297,3912,3537,-,4211,-,299,-,2612,2167,2167,-,-,14333,-,4505,5373,1163,-,5459,6560,3317,1163,-,5459,3512,7229,299,-,5459,6261,4481,299,-,5459,3790,12709,-,-
Concerned about the cost,NH,3537,-,3537,-,-,-,3537,-,-,3537,-,-,-,-,-,3537,-,1163,-,-,2373,-,-,3537,-,-,-,-,-,-,3537,-,3537,-,3537,-,-,-,-,-,-,-,1163,-,-,2373,3537,2373,-,2373,-,-,-,-,-,-,-,-,-,-,3537,-,-,1163,-,-,2373,1163,-,-,-,2373,-,1163,-,-,2373,1163,-,-,-,2373,-,3537,-,-
Don’t trust COVID-19 vaccines,NH,46480,2861,15262,15374,5060,7923,28508,17972,3373,41230,-,-,1876,-,24182,15540,6758,26298,-,4710,15471,-,767,15043,6701,13801,2124,3254,4790,29320,17160,6421,40058,-,32924,12062,1493,1067,4012,3906,2346,4077,5161,-,770,25139,33640,6372,13457,3259,931,11862,770,779,546,6278,-,-,-,-,46480,-,22278,8807,-,-,15394,26864,4222,-,-,15394,20071,9399,1615,-,15394,22453,8333,299,-,15394,11806,34674,-,-
Don’t trust the government,NH,35152,-,10826,15449,3087,5791,22284,12868,1734,33419,-,-,-,-,15323,16505,3325,22790,2650,2649,6877,185,680,14591,4880,7770,1493,2176,3562,18560,16593,6325,28642,185,23789,9685,1678,2705,4423,2601,4571,-,4180,1297,770,14606,25609,6821,15013,5586,1911,12219,770,299,-,2953,-,-,-,-,34967,185,18544,6079,1163,-,9367,18742,5880,1163,-,9367,11552,11253,2981,-,9367,21615,3871,299,-,9367,7314,27653,-,185
Other,NH,28862,-,4171,17706,4174,2812,13353,15509,654,24661,-,-,3548,-,7029,12301,9532,24079,759,1918,1920,185,1849,3876,14316,4525,1806,-,2490,13367,15495,5946,22731,185,16304,10880,1678,1391,1403,1111,1095,2755,6478,-,461,14169,17572,7018,5634,881,-,3980,-,299,273,5028,-,-,-,-,28336,526,13210,3985,1061,-,10607,17983,273,-,-,10607,8615,9069,572,-,10607,12182,4893,1180,-,10607,6396,22281,-,185
Did not report,NH,10645,-,4142,-,2121,4381,401,10244,3259,7385,-,-,-,3259,5841,883,661,9501,-,261,883,-,261,4980,5404,-,-,-,-,1283,9361,-,10645,-,5381,4381,883,-,5841,261,-,-,401,-,-,4142,6502,-,-,-,-,-,-,-,-,4142,-,-,-,-,10645,-,4782,1721,-,-,4142,2382,4121,-,-,4142,6102,401,-,-,4142,2382,4121,-,-,4142,-,10645,-,-
Total,NJ,1350098,108222,533457,428163,148065,132192,644144,705954,392435,615264,176367,72218,93815,114433,507360,347338,380967,634949,26948,153315,518795,16092,33732,222169,291476,338336,253570,68820,141997,712741,637357,449922,897454,2722,643668,697939,8492,164295,78620,66030,102377,68761,97353,43510,60382,668771,533663,353982,185906,163070,154792,210270,4595,117756,115395,375442,10473,10473,20946,19050,1328327,2722,540957,169822,64805,10473,564041,702943,43347,28593,10473,564742,513802,191244,60047,20263,564742,573333,158676,33084,20263,564742,271687,1016663,51637,10111
Concerned about possible side effects,NJ,770960,72129,314314,259400,65515,59603,293920,477041,229970,314057,146285,24057,56593,75424,309699,217529,168309,342039,5839,83893,325819,13371,21136,134026,160474,212986,165420,37981,38938,468147,302814,287329,483632,-,395850,375110,-,101758,40890,46431,25336,48897,32065,27277,21182,427125,264536,164107,89880,80570,97275,136823,-,52859,15949,292406,-,-,-,8577,762384,-,290796,89339,15810,-,375016,369061,14845,17107,-,369948,288746,98627,13639,-,369948,288808,94387,17818,-,369948,167962,567046,35953,-
Don’t know if a vaccine will work,NJ,287496,29678,102172,101793,37247,16606,148886,138610,104106,113250,24083,25238,20819,27837,85569,116333,57757,207740,-,9177,70579,-,4912,34924,71113,68639,83442,24466,-,147516,139980,100482,187014,-,204200,83296,-,19987,37564,20674,10029,28727,28531,17850,8729,115405,158443,93200,17486,15157,18495,52926,4595,-,-,78835,-,-,-,-,287496,-,163125,29532,11247,-,83592,198992,4912,-,-,83592,141715,54719,7470,-,83592,150800,50811,2293,-,83592,26441,261054,-,-
Don’t believe I need a vaccine,NJ,171459,13958,85525,38239,1767,31970,104846,66612,59393,112066,-,-,-,14742,53910,28642,74164,94094,10473,-,66891,-,-,38077,25112,71697,12099,14000,10473,80967,90492,40122,131337,-,122843,48616,-,10473,403,-,8582,15746,24580,8022,12576,91076,89806,84894,23488,24473,16498,20202,-,-,-,18775,10473,10473,10473,10473,171459,-,112045,-,10473,-,48940,112045,10473,-,-,48940,112045,10473,-,-,48940,120132,-,2387,-,48940,22446,149013,-,-
Don’t like vaccines,NJ,147259,13695,57345,41047,12233,22938,39593,107666,47301,36232,-,12962,50765,14742,67255,15453,49809,65700,10473,3065,68022,-,-,8288,13202,70652,23705,10466,20946,72003,75256,89261,57998,-,71471,75788,-,20939,403,16760,14538,25326,12675,1992,10473,44152,76484,76228,20946,30956,27566,29224,-,10473,-,27060,10473,10473,20946,10473,136786,-,75730,21173,10473,10473,29410,96903,10473,-,10473,29410,86197,18115,3065,10473,29410,91450,15524,403,10473,29410,-,106661,40598,-
Doctor has not recommended it,NJ,35886,15790,6629,3204,5143,5120,15153,20733,18994,16892,-,-,-,-,15790,7521,12575,16517,1695,1884,15790,-,1884,3604,20566,-,9833,-,-,11528,24358,18994,16892,-,12411,23475,-,17485,848,-,-,2239,7993,3707,-,3614,16862,4899,19497,15790,2239,1364,-,-,-,1036,-,-,-,-,35886,-,15979,503,15790,-,3614,13740,18533,-,-,3614,15979,503,15790,-,3614,5947,24961,1364,-,3614,2239,33646,-,-
Plan to wait and see if it is safe,NJ,574818,89932,219579,177106,32419,55781,235337,339482,203964,225674,58240,33931,53009,41294,214421,175245,143858,230899,3247,42558,295392,2722,14216,117092,140145,182651,72435,14132,34148,272036,302782,193995,378102,2722,310256,261840,2722,69347,47021,24040,27867,38744,35019,16652,30102,286027,251195,137642,84351,60353,51154,110868,4595,60956,6618,209651,-,-,10473,8577,553046,2722,212920,64745,25853,10473,260828,265475,24310,18802,10473,255759,142813,131682,34092,10473,255759,197931,101933,8722,10473,255759,92012,429951,42744,10111
Other people need it more right now,NJ,239774,15790,96261,89375,24052,14297,119133,120641,74816,129314,19139,16504,-,-,86575,68469,84730,145443,-,3127,91204,-,4342,51151,38264,79683,51814,14520,-,111324,128450,95161,144613,-,186611,53163,-,32239,11247,2498,28777,25253,10844,17648,8005,103262,112933,88377,39331,22483,20258,44204,-,1262,7336,54974,-,-,-,-,239774,-,104286,23164,27037,-,85287,138697,15790,-,-,85287,111364,17223,25900,-,85287,121138,31365,1984,-,85287,30827,208947,-,-
Concerned about the cost,NJ,60103,29485,8731,11420,10466,-,17673,42430,23232,3978,-,19198,13695,-,36927,14445,8731,31604,-,3978,24521,-,-,-,15790,20152,13695,10466,-,20152,39952,51372,8731,-,26405,33698,-,33698,12709,13695,-,-,-,-,-,-,32893,17908,23232,15790,7442,8731,-,-,3978,-,-,-,-,-,60103,-,22426,10466,23232,-,3978,40335,15790,-,-,3978,40335,-,15790,-,3978,13695,34987,7442,-,3978,8731,51372,-,-
Don’t trust COVID-19 vaccines,NJ,346493,60741,136452,96287,25699,27314,127148,219345,105549,150445,61238,11227,18035,37195,88077,118081,103141,168204,13737,13607,150946,-,3422,29728,70396,106552,85105,25928,25363,211123,135371,107585,238909,-,175143,165580,5770,38616,40699,16270,10850,30711,30612,2834,16420,159483,179664,99213,59399,54231,30372,65127,-,33119,6980,103000,10473,10473,20946,19050,327443,-,156286,51910,24825,10473,103000,213673,13577,-,10473,108770,162115,59391,5744,10473,108770,187578,37905,1767,10473,108770,26957,303236,16301,-
Don’t trust the government,NJ,275673,27653,91552,95406,22971,38090,163994,111679,79876,147701,24610,-,23485,24533,116495,67054,67591,129580,10473,46341,86557,2722,12713,40689,43346,106744,34204,13296,24680,146538,129135,68690,204261,2722,168462,98719,8492,61300,18843,29445,4529,28760,24232,3707,8729,96128,171533,105233,60238,62302,16034,61895,4595,32436,15447,29260,10473,10473,10473,10473,272951,2722,162532,48475,23368,-,41298,204891,18993,9790,-,41999,154126,52195,17563,9790,41999,173245,29522,21116,9790,41999,35168,237439,3065,-
Other,NJ,261005,29476,99262,86036,42271,3960,151908,109097,19054,193990,22957,22032,2972,18088,123055,59155,60706,116465,4671,29539,110330,-,10057,24047,40370,51803,47112,15293,72323,92277,168727,43876,217128,-,87627,173377,-,11184,10372,10942,49895,3375,27584,9256,20177,118219,119714,69326,14010,6693,12450,29401,-,39423,80620,41435,-,-,-,-,261005,-,96630,48648,-,-,115726,145279,-,-,-,115726,116793,11283,17202,-,115726,123354,21078,846,-,115726,67624,190315,3065,-
Did not report,NJ,9837,-,4598,-,3256,1984,9837,-,-,1984,-,7853,-,-,-,-,9837,5240,-,-,4598,-,-,6582,3256,-,-,-,-,-,9837,-,9837,-,7853,1984,-,-,-,-,3256,-,-,-,-,6582,5240,-,-,1984,-,1984,-,-,-,4598,-,-,-,-,9837,-,3256,-,-,-,6582,3256,-,-,-,6582,3256,-,-,-,6582,3256,-,-,-,6582,-,9837,-,-
Total,NM,266957,31257,87891,69914,37272,40623,105357,161599,144002,88669,2878,2244,29164,27419,105693,102730,31115,103566,18215,41360,95995,7821,27801,52229,57418,50577,36136,24674,18121,135158,131798,71638,195025,295,145175,121488,295,52675,20737,24718,14311,15410,27229,5410,1580,104887,161737,30566,45233,27229,29214,62364,4303,44370,5465,29055,1697,1190,4234,2278,256113,1786,122524,47310,11755,273,85096,145478,29539,6572,273,85096,125681,47009,8049,1122,85096,140552,27770,9545,3994,85096,26901,228281,11480,295
Concerned about possible side effects,NM,104322,7857,25999,27660,21905,20901,33445,70878,53071,41592,1315,658,7686,2883,40989,45182,15267,47656,7901,22796,24852,1117,7963,20509,19939,26544,16324,4842,8201,62148,42174,28922,75400,-,56807,47515,-,18191,10498,5070,7079,10887,12494,1248,-,38856,54728,21926,27463,5519,8971,26216,1327,25159,2014,15163,-,-,1632,2278,99451,961,44242,25644,2575,-,31861,51956,19656,849,-,31861,47238,23902,472,849,31861,54099,16338,1553,472,31861,14596,84764,4963,-
Don’t know if a vaccine will work,NM,28594,686,11369,7119,5462,3958,7075,21519,16763,10515,1315,-,-,961,7532,16075,4026,16159,-,3739,7579,1117,3274,6575,2604,11374,4306,461,-,20515,8078,5179,23415,-,14053,14540,-,2619,5536,374,326,2864,2416,1284,-,13176,15771,6708,5097,1128,5838,5062,1128,7560,-,3476,-,-,-,1987,25645,961,16159,4296,1048,-,7091,21078,424,-,-,7091,16793,4709,-,-,7091,18814,2688,-,-,7091,1303,22209,5082,-
Don’t believe I need a vaccine,NM,57982,3382,8867,18033,11201,16499,30719,27263,22874,23915,-,-,11192,8422,22817,20590,6153,29029,8310,11873,7808,961,8782,8325,17492,5291,2566,1817,13710,28457,29524,11594,46388,-,46093,11889,-,4565,2618,9031,3507,6850,16229,399,-,14783,41593,4260,10877,3451,3062,6633,1128,6895,849,3920,-,-,1372,1987,53662,961,38353,5832,849,-,12947,28610,11100,5324,-,12947,38485,5700,-,849,12947,41577,2608,849,-,12947,4257,52597,1128,-
Don’t like vaccines,NM,34757,11598,7492,5409,1477,8780,10375,24382,21734,12556,-,-,468,961,19311,10007,4478,9818,-,9399,14579,961,1029,1526,13476,6704,424,11598,-,9645,25112,5068,29689,-,26659,8098,-,13227,374,842,1159,4088,8137,399,-,6532,26240,1328,5027,-,3048,1574,-,4139,-,4778,-,-,-,1987,31809,961,25590,5616,-,-,3551,21168,10038,-,-,3551,28662,2543,-,-,3551,30532,674,-,-,3551,2862,31895,-,-
Doctor has not recommended it,NM,8684,686,4669,187,1338,1804,1657,7027,3135,4233,1315,-,-,961,-,6552,1170,1833,1512,187,4191,961,2171,802,2174,1372,1315,849,-,5710,2973,2836,5847,-,3634,5049,-,2799,2134,-,342,2333,-,-,-,1075,5444,174,2424,849,461,4326,-,1671,849,686,-,342,-,-,7723,961,3283,3505,1023,-,873,6641,147,1023,-,873,4809,1979,174,849,873,4809,1979,1023,-,873,961,7723,-,-
Plan to wait and see if it is safe,NM,81522,7857,33209,20809,9364,10283,14204,67318,44372,23418,1315,658,11758,5767,28278,31224,16253,34395,7863,9268,28879,1117,5454,22220,12007,15759,19716,1955,4412,48176,33346,24299,57223,-,30933,50589,-,19383,8512,6844,2764,7041,2118,-,-,34859,37424,16493,18547,12714,4194,23497,2976,14829,1144,14253,-,-,2862,-,77699,961,26405,18780,4945,-,31392,40136,9145,849,-,31392,24145,24763,374,849,31392,29664,13760,6707,-,31392,15259,58361,7903,-
Other people need it more right now,NM,50725,13947,22118,5528,4534,4599,27535,23190,27690,16163,1315,-,5556,6265,22359,16474,5626,15968,849,3534,23321,7052,7574,8772,3924,21555,3238,5663,-,26791,23933,12843,37882,-,28073,22652,-,8481,1048,-,2347,3529,1136,-,-,34185,22606,2703,10229,2323,7029,12405,-,7696,849,6592,-,848,-,-,48915,961,16652,6845,1897,-,25332,21228,3316,849,-,25332,15944,5218,3382,849,25332,20033,4510,849,-,25332,3569,47155,-,-
Concerned about the cost,NM,7948,7171,-,777,-,-,-,7948,5799,2149,-,-,-,-,6576,1372,-,-,-,777,7171,-,-,777,1372,5799,-,-,-,7948,-,2149,5799,-,777,7171,-,777,-,-,-,-,-,-,-,7171,-,-,5799,1372,-,-,-,7948,-,-,-,-,-,-,7948,-,777,-,-,-,7171,777,-,-,-,7171,777,-,-,-,7171,777,-,-,-,7171,-,7948,-,-
Don’t trust COVID-19 vaccines,NM,70513,-,17717,15932,15355,21508,27781,42732,27887,32659,1562,-,8404,2524,27640,32035,8314,41274,7406,18141,2574,1117,4107,11939,13083,21377,11939,1817,6249,42818,27694,15119,55394,-,37442,33071,-,14426,6486,1639,1017,12327,13728,1484,906,18501,43442,15685,17283,7491,3535,19926,1128,11304,2014,4784,-,-,3004,1987,64560,961,38088,14014,3722,-,14689,33620,20793,1410,-,14689,38417,16557,-,849,14689,41200,12211,2412,-,14689,11079,54471,4963,-
Don’t trust the government,NM,50405,5799,7645,16721,14626,5613,22180,28225,25492,15254,1315,658,7686,961,23708,21841,3895,28689,849,3461,16444,961,2551,11106,12086,14699,2864,849,6249,27682,22723,10513,39892,-,24342,26063,-,4609,3056,1174,691,5487,2682,2729,-,29976,20266,2373,18746,9022,10203,8320,1128,8468,3180,4841,-,-,1632,1987,45824,961,16814,6577,849,-,26164,19676,3715,849,-,26164,16093,7299,-,849,26164,19670,3721,849,-,26164,7350,41927,1128,-
Other,NM,59793,5027,23110,15337,10488,5831,23847,35946,21540,26987,-,1586,9681,7325,22023,21329,9116,18806,2054,9115,29047,769,10798,15644,12451,3212,7373,4065,6249,28126,31667,23170,36622,-,38536,21257,-,7171,5401,10944,2911,914,2242,312,674,29224,40551,4456,14576,6596,6809,17894,3902,9318,825,4160,1697,-,1230,-,56041,825,23922,7433,3937,273,24228,31203,3401,687,273,24228,20511,10958,3822,273,24228,25214,6255,573,3523,24228,4714,51177,3902,-
Did not report,NM,1276,-,-,-,348,928,633,642,633,642,-,-,-,-,-,633,642,1276,-,-,-,-,-,1276,-,-,-,-,-,-,1276,348,633,295,348,633,295,-,-,-,-,348,633,-,-,295,348,-,-,-,-,-,-,-,-,928,-,-,-,-,1276,-,633,348,-,-,295,348,633,-,-,295,633,348,-,-,295,981,-,-,-,295,-,981,-,295
Total,NY,2694467,121883,1126856,762694,406882,276152,946064,1748402,730628,1159336,649984,130919,23600,398626,1017057,675517,603267,1307132,38642,441004,828164,79525,153160,638957,393378,651996,396261,19585,441129,1273693,1420774,883858,1796756,13853,1186641,1507826,-,628325,294880,207093,165886,185293,181971,47229,69678,914113,1324915,554642,305906,345112,503088,612802,76599,589725,94091,415781,-,498,70493,498,2568167,55806,1521352,367066,71023,69995,665030,1738560,206784,14098,69995,665030,1133877,762034,62289,69995,666271,1462139,414408,82894,69995,665030,565298,1834008,243891,51270
